screen_time_hours,bedtime_hour,age,app_type_most_used,stress_level
6.66,24.0,,Gaming,Low
4.94,23.0,21.0,Educational,Low
7.03,20.0,21.0,Educational,Low
,24.0,20.0,Gaming,High
7.94,24.0,28.0,Social,High
4.6,20.0,18.0,Social,Moderate
5.34,20.0,,Social,
5.22,22.0,18.0,Educational,Moderate
3.07,23.0,24.0,Entertainment,Moderate
6.59,,,Educational,High
6.52,20.0,21.0,Entertainment,High
6.01,21.0,21.0,Gaming,Moderate
5.53,24.0,,Utility,Moderate
3.17,24.0,28.0,Entertainment,Low
5.16,,28.0,Social,High
5.31,21.0,30.0,Educational,Low
4.4,22.0,23.0,Gaming,Moderate
5.68,20.0,29.0,Social,Moderate
6.81,20.0,18.0,Gaming,Moderate
9.77,24.0,27.0,Utility,Low
6.35,20.0,25.0,Educational,High
6.52,20.0,30.0,Educational,Low
5.85,20.0,,Utility,Moderate
,24.0,23.0,Educational,Low
5.95,22.0,26.0,Entertainment,Moderate
,22.0,18.0,Gaming,Moderate
10.93,20.0,23.0,Social,Moderate
5.62,24.0,25.0,Utility,Low
6.6,22.0,27.0,Entertainment,
5.93,22.0,30.0,Social,Moderate
3.66,22.0,19.0,Social,Moderate
8.29,24.0,,Utility,High
7.5,24.0,23.0,Entertainment,Low
7.58,20.0,,,Moderate
4.18,23.0,20.0,Social,Low
22.810000000000002,22.0,21.0,Entertainment,Low
3.2,23.0,24.0,Educational,Moderate
7.17,24.0,,Social,Moderate
10.38,24.0,,Gaming,Low
4.02,24.0,28.0,,Low
4.87,23.0,29.0,Social,Low
6.2,24.0,30.0,Utility,High
4.99,20.0,30.0,Gaming,High
2.9,24.0,27.0,Social,Low
6.14,21.0,,Gaming,Low
3.88,23.0,22.0,Gaming,High
6.95,21.0,25.0,Educational,High
4.16,24.0,22.0,Gaming,Moderate
9.1,20.0,27.0,Educational,Low
4.43,22.0,29.0,Entertainment,Low
5.36,24.0,25.0,Educational,Moderate
7.63,20.0,25.0,Utility,Moderate
3.54,23.0,,Social,
6.45,21.0,27.0,Entertainment,Moderate
8.61,,23.0,Entertainment,Low
2.79,21.0,29.0,Utility,Moderate
6.37,23.0,21.0,Educational,Moderate
6.52,20.0,29.0,Social,Low
7.56,23.0,28.0,Educational,Moderate
3.53,21.0,20.0,Gaming,Moderate
3.36,24.0,29.0,Educational,High
7.04,22.0,22.0,Entertainment,Moderate
6.59,23.0,23.0,Social,Low
6.5,23.0,,Educational,Moderate
6.69,20.0,19.0,Social,Low
4.64,20.0,24.0,,High
6.46,23.0,28.0,Gaming,Moderate
6.59,21.0,22.0,Gaming,Moderate
4.57,22.0,26.0,Entertainment,Low
9.73,20.0,20.0,Utility,Moderate
6.95,21.0,,Social,High
3.62,,23.0,Utility,High
7.31,20.0,21.0,Entertainment,Low
4.05,21.0,29.0,Social,Low
7.57,21.0,29.0,,High
8.32,22.0,26.0,Utility,High
4.36,22.0,22.0,Educational,Low
7.93,24.0,27.0,Gaming,Moderate
6.83,21.0,23.0,Educational,Moderate
7.64,21.0,30.0,Utility,High
9.79,22.0,26.0,Gaming,Low
5.51,20.0,24.0,Educational,Low
4.49,20.0,29.0,Gaming,Moderate
4.22,23.0,22.0,Social,Low
4.37,22.0,19.0,Educational,Moderate
5.85,23.0,,Gaming,Moderate
6.68,22.0,19.0,,Moderate
6.55,,20.0,Gaming,Moderate
7.65,21.0,27.0,Educational,Moderate
6.03,24.0,29.0,Entertainment,Low
8.91,,20.0,Educational,Moderate
5.47,21.0,21.0,Utility,High
11.44,20.0,23.0,Educational,Moderate
7.25,20.0,29.0,Gaming,Low
4.29,23.0,20.0,,Low
3.86,22.0,27.0,Educational,Low
6.96,22.0,18.0,Educational,Moderate
5.55,20.0,18.0,Gaming,Moderate
7.43,24.0,26.0,Social,Moderate
6.95,21.0,26.0,Social,Low
5.85,24.0,22.0,,Low
4.31,24.0,26.0,Educational,Moderate
2.97,20.0,28.0,Social,Moderate
5.11,20.0,24.0,Social,Low
7.71,20.0,26.0,Entertainment,Moderate
6.43,23.0,29.0,Entertainment,Low
3.51,24.0,24.0,Social,High
6.35,22.0,26.0,Utility,High
6.77,21.0,19.0,Social,Low
4.23,23.0,28.0,Gaming,Low
6.31,22.0,28.0,Educational,Moderate
6.12,24.0,25.0,Utility,Low
3.71,20.0,24.0,Gaming,Moderate
6.72,24.0,23.0,Utility,High
7.12,21.0,22.0,Gaming,Moderate
,23.0,21.0,Educational,
8.11,23.0,24.0,Educational,Moderate
3.24,21.0,20.0,Entertainment,Low
18.12,22.0,25.0,Gaming,
7.03,22.0,19.0,Entertainment,Moderate
7.03,23.0,18.0,Gaming,Moderate
7.03,23.0,,Entertainment,Low
13.71,20.0,19.0,Educational,Low
7.14,22.0,26.0,Utility,High
8.27,21.0,22.0,Entertainment,Low
7.91,22.0,28.0,Gaming,High
7.3,20.0,25.0,Gaming,High
5.37,23.0,,Educational,Moderate
7.52,23.0,24.0,Gaming,Moderate
4.45,20.0,19.0,Social,Moderate
5.53,21.0,25.0,Utility,High
5.03,23.0,24.0,Entertainment,Low
6.16,24.0,29.0,Utility,
10.63,23.0,22.0,Educational,Moderate
2.27,24.0,29.0,Entertainment,Moderate
,20.0,28.0,Entertainment,Moderate
2.77,20.0,21.0,Social,Moderate
5.06,23.0,18.0,Educational,Moderate
8.18,22.0,22.0,Gaming,High
6.13,24.0,29.0,Social,
3.84,21.0,26.0,Social,High
4.57,23.0,27.0,Utility,Moderate
,21.0,21.0,Utility,
4.54,23.0,30.0,,Moderate
6.43,22.0,26.0,Social,Moderate
6.09,22.0,,Gaming,Low
4.7,22.0,19.0,Entertainment,High
,22.0,21.0,Utility,Low
7.27,20.0,26.0,Gaming,High
1.95,20.0,21.0,Educational,High
6.37,24.0,22.0,Utility,Low
4.68,21.0,28.0,Entertainment,
7.7,23.0,25.0,Educational,Moderate
4.41,23.0,18.0,,Low
5.77,20.0,18.0,Entertainment,High
,23.0,26.0,Utility,Low
7.73,,26.0,Social,Low
3.6,24.0,21.0,Entertainment,High
5.33,21.0,30.0,Entertainment,Moderate
5.05,,19.0,Entertainment,High
4.69,22.0,30.0,Educational,Moderate
9.53,22.0,26.0,Gaming,Moderate
6.81,22.0,21.0,Social,Moderate
3.48,24.0,23.0,Utility,Moderate
7.84,,29.0,Utility,Moderate
10.24,21.0,,Gaming,Moderate
8.06,22.0,29.0,Entertainment,Moderate
2.96,,26.0,Social,Low
5.03,22.0,22.0,,Moderate
8.53,21.0,20.0,Utility,Low
4.58,22.0,21.0,Entertainment,Moderate
6.89,21.0,18.0,Gaming,Low
7.55,22.0,26.0,Social,Moderate
4.15,24.0,25.0,Gaming,Moderate
5.88,24.0,21.0,Gaming,Low
-0.48,21.0,19.0,,Low
3.95,,26.0,Social,Low
5.49,21.0,21.0,Utility,Moderate
3.5,24.0,26.0,Utility,High
9.26,24.0,27.0,Social,Low
3.14,21.0,20.0,Educational,Moderate
5.12,,24.0,Utility,Moderate
6.26,24.0,24.0,Educational,Moderate
8.88,22.0,27.0,Social,High
3.13,23.0,30.0,Utility,Moderate
8.33,21.0,21.0,Gaming,Moderate
6.02,23.0,19.0,Social,Low
4.04,20.0,28.0,Entertainment,
6.92,20.0,26.0,Educational,Low
,24.0,21.0,Social,Low
4.8,24.0,25.0,Social,Moderate
6.14,22.0,19.0,Utility,Moderate
5.23,23.0,25.0,Utility,Moderate
6.23,20.0,28.0,Utility,Low
7.32,24.0,27.0,Entertainment,Low
9.17,,22.0,Utility,Moderate
3.52,24.0,24.0,Social,High
10.27,24.0,24.0,Utility,Low
2.1,20.0,29.0,Gaming,High
5.7,20.0,26.0,Utility,Moderate
7.18,,20.0,Entertainment,Moderate
6.56,21.0,27.0,Gaming,Moderate
4.75,24.0,21.0,Social,Low
5.58,24.0,27.0,Social,Low
5.01,22.0,21.0,Educational,Moderate
4.82,22.0,30.0,Gaming,Moderate
7.7,22.0,27.0,Educational,High
,21.0,22.0,Gaming,Moderate
4.61,21.0,23.0,Gaming,Low
7.8,24.0,20.0,Entertainment,Moderate
6.61,22.0,30.0,Educational,Low
7.63,21.0,21.0,Entertainment,Moderate
7.26,20.0,20.0,Gaming,Moderate
4.34,24.0,19.0,Social,High
4.88,23.0,27.0,Gaming,Moderate
7.49,24.0,29.0,Entertainment,Moderate
7.22,23.0,26.0,Educational,Moderate
5.96,22.0,18.0,Educational,High
6.23,23.0,19.0,Entertainment,Low
8.56,22.0,25.0,Educational,Low
4.82,20.0,24.0,Utility,Low
7.09,23.0,29.0,Social,Low
5.6,24.0,18.0,Social,Moderate
5.56,22.0,22.0,,Moderate
8.2,24.0,27.0,Educational,Moderate
7.65,21.0,23.0,Educational,Low
7.63,22.0,22.0,Gaming,
22.61,23.0,21.0,,Moderate
6.04,22.0,30.0,Social,Moderate
,24.0,18.0,Utility,Moderate
5.38,20.0,24.0,Gaming,Moderate
6.65,22.0,26.0,,Low
5.74,23.0,23.0,Educational,Low
6.19,21.0,20.0,Utility,
7.19,20.0,27.0,Social,
4.36,21.0,21.0,Gaming,Moderate
10.18,22.0,27.0,Utility,Low
3.99,24.0,22.0,Utility,Moderate
3.57,24.0,29.0,Social,Moderate
8.32,23.0,29.0,Utility,Moderate
7.58,24.0,18.0,Utility,Low
7.25,20.0,22.0,Utility,Low
7.26,24.0,18.0,Gaming,Moderate
5.98,23.0,26.0,Social,Moderate
4.21,22.0,24.0,Utility,Low
6.15,22.0,20.0,Utility,Low
4.65,24.0,26.0,Gaming,Moderate
7.95,21.0,19.0,Social,High
5.71,22.0,29.0,Educational,High
4.35,24.0,24.0,Gaming,Moderate
5.36,23.0,26.0,Social,Moderate
6.83,24.0,23.0,Utility,Low
4.87,22.0,,,Moderate
4.36,23.0,22.0,Social,Moderate
6.49,24.0,29.0,Social,Moderate
6.49,20.0,24.0,Educational,Moderate
4.99,23.0,23.0,Social,Low
5.06,20.0,22.0,Educational,Low
,21.0,19.0,Utility,Moderate
3.1,,25.0,Educational,Low
3.19,20.0,30.0,Utility,Low
4.56,22.0,24.0,Utility,High
5.57,22.0,23.0,Educational,Moderate
6.62,21.0,22.0,Gaming,Moderate
8.95,23.0,22.0,Entertainment,High
7.72,23.0,,Social,High
5.68,23.0,18.0,Entertainment,Moderate
5.96,21.0,26.0,Social,High
3.99,23.0,23.0,Social,Moderate
5.96,22.0,21.0,Utility,Moderate
,20.0,27.0,Social,Moderate
6.65,22.0,24.0,Social,Moderate
4.35,22.0,26.0,Educational,Moderate
7.04,20.0,22.0,Entertainment,Moderate
9.07,22.0,22.0,Educational,Low
5.78,21.0,25.0,Social,Moderate
6.8,20.0,24.0,Utility,Low
21.38,22.0,30.0,Educational,Moderate
5.2,24.0,30.0,Educational,Moderate
6.45,22.0,25.0,Gaming,Moderate
6.03,21.0,28.0,Social,Moderate
6.2,23.0,29.0,Utility,High
4.45,22.0,27.0,Educational,Moderate
6.05,23.0,19.0,Educational,Moderate
,24.0,26.0,Utility,Moderate
8.9,22.0,20.0,Social,Low
7.92,20.0,23.0,Gaming,Low
10.31,23.0,,Educational,Low
4.47,24.0,19.0,Gaming,Moderate
7.74,20.0,29.0,Entertainment,Moderate
6.37,20.0,30.0,Social,High
10.38,20.0,24.0,Entertainment,Low
4.38,20.0,26.0,Entertainment,
4.32,22.0,29.0,Entertainment,High
4.8,22.0,27.0,Social,Low
1.75,22.0,28.0,Social,Moderate
4.95,24.0,18.0,Utility,Moderate
4.48,24.0,25.0,Gaming,Moderate
6.3,24.0,19.0,Gaming,Low
6.68,21.0,18.0,Utility,Low
9.75,24.0,25.0,Utility,Low
7.9,22.0,19.0,Entertainment,Moderate
4.85,22.0,23.0,Utility,Moderate
4.2,21.0,23.0,Educational,Low
6.98,21.0,22.0,Gaming,
3.36,24.0,25.0,Utility,High
9.66,23.0,20.0,Educational,Low
8.36,21.0,30.0,Educational,Moderate
5.06,20.0,27.0,Educational,Moderate
2.57,22.0,21.0,Educational,Low
8.71,,24.0,,Moderate
5.77,22.0,24.0,Educational,Moderate
8.48,22.0,30.0,Entertainment,High
2.81,21.0,29.0,Entertainment,High
4.8,21.0,25.0,Educational,Moderate
6.01,20.0,,Gaming,Moderate
6.09,22.0,,Educational,Moderate
5.1,20.0,29.0,Educational,Moderate
7.25,23.0,19.0,Educational,Moderate
3.86,20.0,21.0,Gaming,Low
5.72,24.0,30.0,Social,
6.24,20.0,27.0,Social,Moderate
7.03,24.0,30.0,Entertainment,Moderate
7.42,24.0,26.0,Entertainment,High
3.75,24.0,27.0,Gaming,Low
2.93,23.0,29.0,Utility,Moderate
8.56,20.0,26.0,Social,
6.66,20.0,30.0,Entertainment,Moderate
4.5,23.0,30.0,Social,Moderate
9.1,,21.0,Gaming,Moderate
6.23,21.0,26.0,Gaming,Moderate
8.36,20.0,20.0,Utility,Moderate
,21.0,29.0,Utility,Moderate
10.12,23.0,22.0,Gaming,Moderate
9.51,22.0,27.0,Entertainment,Moderate
5.5,22.0,26.0,Social,High
7.94,22.0,23.0,Educational,Low
,23.0,20.0,Utility,Low
8.74,24.0,27.0,Educational,
4.07,24.0,26.0,Entertainment,High
7.37,21.0,23.0,Utility,Moderate
8.12,24.0,21.0,Educational,Low
2.48,24.0,21.0,Entertainment,Moderate
3.63,22.0,25.0,Social,Moderate
,22.0,24.0,Entertainment,Low
5.46,21.0,18.0,Utility,Moderate
7.44,20.0,,Gaming,High
9.0,21.0,25.0,Social,Moderate
6.15,21.0,20.0,Educational,Moderate
9.26,23.0,,Utility,Moderate
3.24,23.0,27.0,,Low
2.59,21.0,19.0,Entertainment,High
5.89,21.0,23.0,Gaming,Moderate
6.77,21.0,29.0,Utility,Moderate
5.93,24.0,18.0,Utility,Moderate
1.87,23.0,29.0,Gaming,Moderate
5.82,21.0,28.0,Entertainment,Moderate
3.39,22.0,19.0,Gaming,Low
7.34,22.0,30.0,Utility,High
6.73,24.0,22.0,Utility,High
4.12,24.0,18.0,Educational,Moderate
4.97,20.0,25.0,Educational,High
3.88,20.0,18.0,Social,Low
19.87,,30.0,Utility,
7.91,24.0,26.0,Educational,Moderate
4.03,24.0,27.0,Gaming,Moderate
7.01,24.0,28.0,Entertainment,Moderate
4.94,22.0,20.0,Gaming,Moderate
4.41,24.0,,Entertainment,Low
5.79,22.0,19.0,Educational,Moderate
3.93,20.0,18.0,Social,Low
4.89,20.0,26.0,Gaming,Moderate
3.6,20.0,21.0,Gaming,Low
9.93,21.0,29.0,Gaming,Low
6.07,21.0,18.0,Entertainment,Moderate
4.6,23.0,18.0,Educational,Moderate
6.43,23.0,24.0,Gaming,High
5.78,23.0,19.0,Gaming,Moderate
5.56,21.0,24.0,Social,Moderate
7.23,21.0,,Social,High
7.52,23.0,24.0,Educational,Moderate
4.94,23.0,27.0,Educational,Low
4.85,24.0,26.0,Utility,Moderate
5.45,23.0,30.0,Social,High
1.4,24.0,24.0,Utility,Moderate
2.97,22.0,30.0,Entertainment,Low
8.73,21.0,18.0,Utility,Low
9.29,23.0,29.0,Gaming,Low
5.5,21.0,30.0,Utility,Moderate
7.15,21.0,25.0,Educational,Moderate
6.62,21.0,25.0,Entertainment,Low
12.16,22.0,21.0,Gaming,High
8.24,20.0,30.0,Utility,Moderate
5.74,23.0,25.0,Entertainment,Moderate
4.09,20.0,21.0,Entertainment,High
2.79,20.0,25.0,Gaming,Low
6.41,20.0,22.0,Utility,Moderate
4.49,21.0,21.0,Entertainment,Moderate
3.16,24.0,,,High
4.71,21.0,19.0,Social,Moderate
3.84,21.0,29.0,Entertainment,Low
9.37,20.0,19.0,Social,High
7.76,21.0,19.0,Utility,
5.98,20.0,26.0,Utility,High
8.96,24.0,27.0,Utility,High
6.15,23.0,20.0,Educational,Low
4.28,20.0,27.0,Utility,Moderate
9.05,,21.0,Entertainment,Low
7.08,23.0,27.0,Gaming,Moderate
3.93,22.0,29.0,Social,Moderate
5.62,20.0,25.0,Educational,
4.25,20.0,21.0,Utility,High
,22.0,28.0,Utility,Moderate
7.85,22.0,27.0,Gaming,Moderate
9.82,20.0,27.0,Gaming,High
3.2,22.0,30.0,Educational,High
,21.0,24.0,,Low
4.7,23.0,,Utility,
5.03,23.0,26.0,Educational,Low
4.82,23.0,21.0,Entertainment,High
4.27,21.0,20.0,Entertainment,Low
6.1,22.0,30.0,Educational,Low
4.34,24.0,19.0,Utility,
6.54,22.0,18.0,Educational,Moderate
19.9,20.0,28.0,Utility,Moderate
5.52,23.0,23.0,Gaming,Low
4.18,22.0,27.0,Educational,Moderate
4.85,24.0,19.0,Utility,High
7.51,20.0,25.0,Educational,Moderate
7.0,21.0,23.0,Educational,Low
4.04,21.0,29.0,Utility,Moderate
20.2,24.0,29.0,Utility,Low
7.5,20.0,22.0,Social,High
2.66,23.0,30.0,Educational,High
7.09,22.0,19.0,Entertainment,Moderate
4.67,20.0,24.0,Educational,Moderate
7.14,,19.0,Educational,Moderate
4.47,24.0,30.0,,Moderate
2.39,24.0,22.0,,High
2.74,22.0,19.0,Educational,Moderate
6.1,24.0,28.0,Entertainment,Moderate
6.52,24.0,27.0,Utility,Moderate
4.19,,28.0,Educational,Moderate
7.28,23.0,28.0,Gaming,High
2.68,22.0,19.0,Social,Moderate
5.87,20.0,24.0,Entertainment,Moderate
3.58,23.0,26.0,Educational,Low
4.7,20.0,22.0,Gaming,Moderate
6.09,20.0,24.0,Educational,Moderate
4.28,24.0,21.0,Educational,Low
5.23,23.0,19.0,Utility,Low
8.01,22.0,20.0,,Moderate
4.85,22.0,19.0,Utility,Moderate
,23.0,22.0,Gaming,Moderate
3.74,24.0,23.0,Educational,Low
7.06,21.0,24.0,Social,Moderate
8.88,20.0,20.0,Entertainment,Low
1.06,24.0,21.0,Utility,Moderate
4.41,23.0,25.0,Utility,Low
7.15,20.0,21.0,Educational,Low
5.59,22.0,24.0,Educational,Low
6.74,21.0,29.0,Gaming,Moderate
4.79,22.0,23.0,Gaming,Low
,23.0,24.0,Utility,Moderate
5.69,20.0,18.0,Educational,Moderate
8.34,23.0,20.0,Social,Moderate
6.51,20.0,23.0,,Moderate
6.68,24.0,20.0,Educational,High
5.18,21.0,24.0,Educational,Low
5.02,24.0,26.0,Gaming,Moderate
5.13,24.0,20.0,Entertainment,Low
6.79,23.0,18.0,Utility,Low
5.16,21.0,27.0,Educational,Moderate
6.58,20.0,30.0,Utility,Moderate
10.15,20.0,23.0,,High
7.74,22.0,29.0,Utility,Moderate
5.35,20.0,18.0,Entertainment,High
8.4,23.0,18.0,Gaming,Low
5.18,24.0,25.0,Entertainment,Low
1.92,24.0,26.0,,Low
3.98,24.0,19.0,Gaming,Low
2.26,21.0,26.0,Entertainment,Moderate
5.3,20.0,22.0,Social,Moderate
,,30.0,,Low
9.35,21.0,25.0,Educational,
6.65,22.0,24.0,Utility,High
5.56,23.0,24.0,Gaming,Low
7.66,23.0,21.0,Educational,Low
1.58,23.0,19.0,Gaming,Low
6.47,24.0,22.0,Educational,Low
7.54,23.0,28.0,Utility,Low
3.04,20.0,28.0,Entertainment,Moderate
8.29,23.0,20.0,Utility,Low
6.68,24.0,26.0,,Moderate
5.17,23.0,23.0,Educational,High
7.27,22.0,18.0,Social,Moderate
10.54,22.0,20.0,Social,High
6.36,24.0,29.0,Gaming,Low
6.5,20.0,21.0,Educational,Moderate
19.08,20.0,26.0,Social,Moderate
4.3,21.0,28.0,Entertainment,Low
7.66,,23.0,Social,Low
4.29,23.0,21.0,Entertainment,Moderate
6.14,24.0,18.0,Gaming,Moderate
5.04,,25.0,Social,Moderate
6.96,24.0,28.0,Utility,Moderate
6.67,24.0,19.0,Gaming,Moderate
8.08,21.0,28.0,Entertainment,Low
4.98,20.0,28.0,Gaming,Moderate
5.46,23.0,25.0,Social,Low
4.04,21.0,23.0,Educational,Low
5.11,22.0,25.0,Educational,High
6.75,20.0,23.0,Entertainment,Moderate
7.51,22.0,22.0,,Moderate
4.16,20.0,22.0,Educational,Moderate
7.74,23.0,27.0,Entertainment,Moderate
8.71,23.0,27.0,Gaming,Low
6.83,24.0,28.0,,Low
9.75,22.0,25.0,Utility,Low
,20.0,24.0,Gaming,Moderate
3.51,23.0,25.0,Utility,Moderate
2.44,21.0,29.0,Social,Moderate
8.99,23.0,25.0,Gaming,Moderate
7.31,21.0,24.0,Entertainment,
5.89,20.0,19.0,Gaming,Low
6.56,23.0,28.0,Educational,Low
3.75,23.0,26.0,Entertainment,Moderate
10.89,20.0,30.0,Educational,Moderate
6.26,23.0,24.0,Entertainment,High
6.22,21.0,29.0,Utility,Low
7.45,23.0,28.0,Gaming,High
6.96,22.0,23.0,,High
6.45,24.0,26.0,Entertainment,
4.42,21.0,30.0,Entertainment,Moderate
6.94,22.0,18.0,Educational,Moderate
9.76,20.0,28.0,Utility,High
8.69,21.0,19.0,Educational,Low
9.19,24.0,30.0,Educational,Moderate
4.98,24.0,18.0,Utility,Moderate
4.02,20.0,27.0,Social,Moderate
,20.0,29.0,Educational,Moderate
6.11,21.0,20.0,Educational,Moderate
8.19,23.0,28.0,Entertainment,High
2.62,20.0,22.0,Utility,High
9.06,23.0,18.0,Gaming,High
5.68,22.0,21.0,Social,Low
5.15,24.0,30.0,Social,Moderate
3.98,23.0,25.0,Utility,Low
2.69,24.0,23.0,Entertainment,
7.65,23.0,30.0,Entertainment,Moderate
6.15,22.0,18.0,Utility,Moderate
3.42,20.0,,Entertainment,
3.41,22.0,18.0,Social,High
5.33,,20.0,Social,Low
9.34,,27.0,Gaming,Moderate
5.48,24.0,25.0,Utility,Moderate
2.99,22.0,28.0,Educational,Low
5.51,23.0,28.0,Educational,Low
5.45,22.0,25.0,Gaming,High
0.61,24.0,30.0,Gaming,High
5.89,20.0,20.0,Entertainment,High
5.54,24.0,24.0,Gaming,High
7.39,21.0,,Gaming,Low
9.7,21.0,20.0,Educational,Moderate
8.25,,21.0,Entertainment,Moderate
5.46,24.0,26.0,Gaming,Moderate
3.79,23.0,30.0,Gaming,Moderate
11.15,23.0,,Entertainment,Moderate
6.12,21.0,20.0,Utility,Moderate
6.03,23.0,22.0,Entertainment,Moderate
5.95,21.0,24.0,Educational,Low
6.4,20.0,22.0,Utility,Moderate
5.71,24.0,21.0,Social,Moderate
4.85,23.0,25.0,Entertainment,Moderate
4.91,21.0,21.0,Educational,Low
5.93,22.0,19.0,Utility,
,23.0,27.0,Entertainment,Low
4.57,20.0,30.0,Gaming,Moderate
6.21,20.0,23.0,Entertainment,Moderate
5.49,22.0,19.0,Social,Moderate
9.01,21.0,20.0,Entertainment,Low
0.7,23.0,18.0,Utility,Moderate
8.18,21.0,22.0,Utility,Moderate
8.49,20.0,26.0,Entertainment,Moderate
,21.0,19.0,Utility,Moderate
5.31,20.0,29.0,Gaming,Moderate
5.26,21.0,24.0,Entertainment,Moderate
3.18,22.0,22.0,Gaming,Low
4.44,24.0,19.0,Gaming,Low
3.78,22.0,25.0,Educational,Moderate
9.5,22.0,28.0,Entertainment,Moderate
7.87,24.0,30.0,Utility,Moderate
8.54,24.0,30.0,Gaming,Low
7.44,23.0,23.0,Educational,Low
3.74,23.0,21.0,Entertainment,Moderate
4.95,22.0,30.0,Entertainment,Low
6.98,22.0,21.0,Social,Moderate
3.56,20.0,19.0,Social,Low
7.43,20.0,20.0,Gaming,Moderate
5.52,23.0,24.0,Social,High
5.25,23.0,20.0,Gaming,Low
7.42,20.0,,Utility,Moderate
6.89,20.0,22.0,Gaming,Low
5.28,21.0,27.0,Social,Moderate
8.32,,23.0,Utility,Moderate
3.84,20.0,23.0,,Moderate
,,21.0,Gaming,Moderate
7.19,24.0,23.0,Educational,High
5.38,23.0,20.0,Entertainment,Low
6.65,23.0,24.0,Social,Low
,20.0,24.0,,High
7.85,22.0,21.0,Utility,Moderate
5.63,20.0,19.0,Social,High
4.95,21.0,28.0,,Moderate
8.1,22.0,24.0,Entertainment,High
4.59,21.0,20.0,Gaming,Moderate
3.18,24.0,18.0,Educational,Moderate
2.89,21.0,19.0,Utility,High
7.21,24.0,27.0,Gaming,Moderate
3.44,,26.0,Utility,Low
9.51,21.0,,Social,Low
1.84,21.0,25.0,Entertainment,Low
,24.0,23.0,Entertainment,Low
6.42,22.0,23.0,Educational,Moderate
5.81,24.0,18.0,Entertainment,Moderate
4.91,23.0,19.0,Social,Moderate
,24.0,21.0,Educational,Moderate
5.92,22.0,20.0,Gaming,Moderate
